player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Abdallah Keyliane,frFRA,4.0,Marseille,17,2006,0.0,,0,,,,,,,,,,,0,,,,Matches
Abdelhamid Yunis,maMAR,2.0,Reims,35,1987,30.9,,35,,,,,,,,,,,37,,,,Matches
Abdul Samed Salis,ghGHA,3.0,Lens,23,2000,16.9,,14,,,,,,,,,,,13,,,,Matches
Abergel Laurent,frFRA,3.0,Lorient,30,1993,31.8,,55,,,,,,,,,,,61,,,,Matches
Abline Matthis,frFRA,3.5,Nantes,20,2003,11.6,,3,,,,,,,,,,,3,,,,Matches
Aboukhlal Zakaria,maMAR,3.5,Toulouse,23,2000,8.4,,8,,,,,,,,,,,1,,,,Matches
Adams Akor,ngNGA,4.0,Montpellier,23,2000,25.0,,5,,,,,,,,,,,4,,,,Matches
Adjei Nathaniel,ghGHA,2.0,Lorient,20,2002,13.8,,9,,,,,,,,,,,16,,,,Matches
Adryelson,brBRA,2.0,Lyon,25,1998,0.1,,0,,,,,,,,,,,1,,,,Matches
Adson,brBRA,3.0,Nantes,22,2000,2.6,,6,,,,,,,,,,,2,,,,Matches
Agbadou Emmanuel,ciCIV,2.0,Reims,26,1997,28.8,,41,,,,,,,,,,,52,,,,Matches
Aguilar Ruben,frFRA,2.4,Lens,30,1993,21.4,,33,,,,,,,,,,,24,,,,Matches
Aiyegun Tosin,bjBEN,3.4,Lorient,25,1998,10.0,,4,,,,,,,,,,,2,,,,Matches
Akieme Sergio,esESP,2.3,Reims,25,1997,9.1,,5,,,,,,,,,,,9,,,,Matches
Akliouche Maghnes,frFRA,3.0,Monaco,21,2002,17.9,,23,,,,,,,,,,,8,,,,Matches
Akouokou Paul,ciCIV,3.0,Lyon,25,1997,3.4,,9,,,,,,,,,,,6,,,,Matches
Ali Aboubacar,kmCOM,4.0,Strasbourg,17,2006,1.4,,0,,,,,,,,,,,1,,,,Matches
Ali Cho Mohamed,frFRA,4.0,Nice,19,2004,9.6,,9,,,,,,,,,,,2,,,,Matches
Alioui Nabil,frFRA,3.4,Le Havre,24,1999,11.2,,2,,,,,,,,,,,3,,,,Matches
