player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Aanholt Patrick,nlNED,2.0,PSV,31,1990,13.1,,16,,,,,,,,,,,17,,,,Matches
Abels Dirk,nlNED,2.0,Sparta Rotterdam,25,1997,14.7,,11,,,,,,,,,,,16,,,,Matches
Abraham Paulos,seSWE,3.4,Groningen,20,2002,5.4,,9,,,,,,,,,,,2,,,,Matches
Adekanye Bobby,nlNED,3.4,Go Ahead Eagles,23,1999,23.8,,19,,,,,,,,,,,10,,,,Matches
Adewoye Shawn,beBEL,2.0,RKC Waalwijk,22,2000,32.6,,35,,,,,,,,,,,45,,,,Matches
Admiraal Luuk,nlNED,3.0,Excelsior,20,2002,0.0,,0,,,,,,,,,,,0,,,,Matches
Agrafiotis Nikolas,nlNED,4.0,Excelsior,22,2000,6.3,,6,,,,,,,,,,,1,,,,Matches
Aken Joost,nlNED,2.0,Heerenveen,28,1994,11.0,,6,,,,,,,,,,,18,,,,Matches
Alblas Norbert,nlNED,1.0,Excelsior,27,1994,0.3,,0,,,,,,,,,,,0,,,,Matches
Alemañ Pedro,esESP,3.0,Sparta Rotterdam,20,2002,0.5,,0,,,,,,,,,,,0,,,,Matches
Ali Hussein,iqIRQ,2.0,Heerenveen,20,2002,0.3,,1,,,,,,,,,,,3,,,,Matches
Álvarez Edson,mxMEX,2.4,Ajax,24,1997,28.7,,42,,,,,,,,,,,35,,,,Matches
Amar Ben Aissa Ben,maMAR,2.3,Volendam,25,1997,22.8,,22,,,,,,,,,,,20,,,,Matches
Amersfoort Pelle,nlNED,3.4,Heerenveen,26,1996,13.2,,11,,,,,,,,,,,3,,,,Matches
Amofa Jamal,nlNED,2.0,Go Ahead Eagles,23,1998,26.8,,32,,,,,,,,,,,36,,,,Matches
André Bjørkan Fredrik,noNOR,2.0,Feyenoord,23,1998,0.8,,0,,,,,,,,,,,0,,,,Matches
Anita Vurnon,cwCUW,3.0,RKC Waalwijk,33,1989,30.8,,16,,,,,,,,,,,29,,,,Matches
Antman Oliver,fiFIN,3.4,Groningen,20,2001,7.4,,7,,,,,,,,,,,3,,,,Matches
Antonioli Joey,nlNED,3.0,Volendam,18,2003,0.4,,0,,,,,,,,,,,0,,,,Matches
Antonisse Jeremy,cwCUW,3.0,Emmen,20,2002,8.9,,7,,,,,,,,,,,7,,,,Matches
Antonucci Francesco,beBEL,3.4,Volendam,23,1999,10.0,,3,,,,,,,,,,,3,,,,Matches
Antony,brBRA,4.0,Ajax,22,2000,2.0,,2,,,,,,,,,,,1,,,,Matches
Araujo Miguel,pePER,2.0,Emmen,27,1994,29.9,,32,,,,,,,,,,,34,,,,Matches
Arcus Carlens,htHAI,2.0,Vitesse,26,1996,28.0,,38,,,,,,,,,,,74,,,,Matches
Assehnoun Jasin,fiFIN,3.4,Emmen,23,1998,8.1,,16,,,,,,,,,,,7,,,,Matches
Auassar Adil,nlNED,2.0,Sparta Rotterdam,35,1986,21.3,,20,,,,,,,,,,,38,,,,Matches
Augustijns Sebbe,beBEL,3.0,RKC Waalwijk,22,1999,0.8,,0,,,,,,,,,,,0,,,,Matches
Aursnes Fredrik,noNOR,3.0,Feyenoord,26,1995,2.0,,1,,,,,,,,,,,1,,,,Matches
Aventisian Aventis,amARM,2.0,Go Ahead Eagles,19,2002,0.1,,1,,,,,,,,,,,0,,,,Matches
Awoudja Maxime,deGER,2.0,Excelsior,24,1998,2.8,,4,,,,,,,,,,,7,,,,Matches
Ayoub Yassin,nlNED,3.0,Excelsior,28,1994,8.0,,19,,,,,,,,,,,5,,,,Matches
Azarkan Marouan,nlNED,3.4,Excelsior,20,2001,20.4,,18,,,,,,,,,,,12,,,,Matches
Baas Julian,nlNED,3.0,Excelsior,20,2002,27.3,,26,,,,,,,,,,,31,,,,Matches
Baas Youri,nlNED,2.0,Ajax,19,2003,2.1,,3,,,,,,,,,,,3,,,,Matches
Baden Frederiksen Nikolai,dkDEN,3.5,Vitesse,22,2000,5.8,,2,,,,,,,,,,,0,,,,Matches
Bakari Saïd,kmCOM,2.4,RKC Waalwijk,27,1994,8.4,,8,,,,,,,,,,,18,,,,Matches
Bakayoko Johan,beBEL,3.5,PSV,19,2003,15.3,,20,,,,,,,,,,,8,,,,Matches
Bakkali Zakaria,beBEL,3.0,RKC Waalwijk,26,1996,4.9,,7,,,,,,,,,,,2,,,,Matches
Bakker Justin,nlNED,2.0,Go Ahead Eagles,24,1998,2.5,,2,,,,,,,,,,,2,,,,Matches
Balk Remco,nlNED,3.4,Cambuur,21,2001,13.2,,16,,,,,,,,,,,4,,,,Matches
Balker Radinio,srSUR,2.0,Groningen,23,1998,29.4,,30,,,,,,,,,,,38,,,,Matches
Bangura Alex,slSLE,2.0,Cambuur,23,1999,27.2,,27,,,,,,,,,,,22,,,,Matches
Barasi Yusuf,trTUR,3.5,AZ Alkmaar,19,2003,2.1,,2,,,,,,,,,,,0,,,,Matches
Barkas Vasilios,grGRE,1.0,Utrecht,28,1994,32.0,,0,,,,,,,,,,,0,,,,Matches
Bassett Cole,usUSA,3.0,Fortuna Sittard,21,2001,2.2,,2,,,,,,,,,,,1,,,,Matches
Bassett Cole,usUSA,3.0,Feyenoord,21,2001,0.1,,0,,,,,,,,,,,0,,,,Matches
Bassey Calvin,ngNGA,2.0,Ajax,22,1999,20.1,,25,,,,,,,,,,,23,,,,Matches
Bazoer Riechedly,cwCUW,3.0,AZ Alkmaar,25,1996,3.7,,8,,,,,,,,,,,1,,,,Matches
Bech Sørensen Mads,dkDEN,2.0,Groningen,23,1999,10.1,,7,,,,,,,,,,,7,,,,Matches
Beek Sven,nlNED,2.0,Heerenveen,28,1994,15.0,,13,,,,,,,,,,,20,,,,Matches
Beijnen Mike,nlNED,2.0,Fortuna Sittard,23,1999,0.1,,0,,,,,,,,,,,0,,,,Matches
Bekkema Jan,nlNED,1.0,Heerenveen,26,1996,0.0,,0,,,,,,,,,,,0,,,,Matches
Bel Hassani Iliass,maMAR,3.4,RKC Waalwijk,29,1992,14.9,,8,,,,,,,,,,,5,,,,Matches
Benita Mimeirhel,nlNED,2.0,Feyenoord,18,2003,0.6,,1,,,,,,,,,,,1,,,,Matches
Benítez Walter,arARG,1.0,PSV,29,1993,30.0,,0,,,,,,,,,,,0,,,,Matches
Berden Martijn,nlNED,3.5,Go Ahead Eagles,25,1997,0.9,,1,,,,,,,,,,,1,,,,Matches
Bergen Thom,nlNED,3.4,Groningen,18,2004,4.1,,9,,,,,,,,,,,4,,,,Matches
Berghuis Steven,nlNED,3.4,Ajax,30,1991,23.3,,22,,,,,,,,,,,7,,,,Matches
Bergsma Leon,nlNED,2.0,Cambuur,25,1997,20.4,,23,,,,,,,,,,,19,,,,Matches
Bergwijn Steven,nlNED,3.5,Ajax,24,1997,26.0,,22,,,,,,,,,,,6,,,,Matches
Bernadou Lucas,frFRA,3.0,Emmen,21,2000,21.0,,29,,,,,,,,,,,30,,,,Matches
Bero Matúš,skSVK,3.4,Vitesse,26,1995,30.5,,30,,,,,,,,,,,15,,,,Matches
Besuijen Vicente,nlNED,3.5,Excelsior,21,2001,0.7,,3,,,,,,,,,,,0,,,,Matches
Beukema Sam,nlNED,2.0,AZ Alkmaar,23,1998,24.4,,19,,,,,,,,,,,33,,,,Matches
Białek Bartosz,plPOL,4.0,Vitesse,20,2001,17.0,,2,,,,,,,,,,,0,,,,Matches
Biereth Mika,dkDEN,4.0,RKC Waalwijk,19,2003,3.4,,1,,,,,,,,,,,1,,,,Matches
Bijlow Justin,nlNED,1.0,Feyenoord,24,1998,25.0,,1,,,,,,,,,,,0,,,,Matches
Bistrović Kristijan,hrCRO,3.0,Fortuna Sittard,24,1998,12.8,,10,,,,,,,,,,,16,,,,Matches
Blind Daley,nlNED,2.0,Ajax,32,1990,10.5,,13,,,,,,,,,,,10,,,,Matches
Blokzijl Thijmen,nlNED,2.0,Groningen,17,2005,13.1,,13,,,,,,,,,,,9,,,,Matches
Blom Jordi,nlNED,4.0,Volendam,20,2002,0.5,,1,,,,,,,,,,,0,,,,Matches
Blomme Xander,beBEL,3.0,Go Ahead Eagles,20,2002,4.2,,7,,,,,,,,,,,9,,,,Matches
Bochniewicz Paweł,plPOL,2.0,Heerenveen,26,1996,32.3,,27,,,,,,,,,,,50,,,,Matches
Boer Jan,nlNED,1.0,Groningen,22,2000,2.5,,0,,,,,,,,,,,0,,,,Matches
Boere Tom,nlNED,4.0,Cambuur,29,1992,6.8,,3,,,,,,,,,,,0,,,,Matches
Booth Taylor,usUSA,3.4,Utrecht,21,2001,17.3,,15,,,,,,,,,,,8,,,,Matches
Boscagli Olivier,frFRA,2.0,PSV,24,1997,2.4,,0,,,,,,,,,,,6,,,,Matches
Bouchouari Mohamed,beBEL,2.3,Emmen,21,2000,19.3,,25,,,,,,,,,,,17,,,,Matches
Boussaid Othman,beBEL,3.4,Utrecht,22,2000,23.2,,8,,,,,,,,,,,32,,,,Matches
Bozdogan Can,deGER,3.0,Utrecht,21,2001,17.3,,25,,,,,,,,,,,16,,,,Matches
Brama Wout,nlNED,3.0,Twente,35,1986,2.3,,2,,,,,,,,,,,5,,,,Matches
Branderhorst Mattijs,nlNED,1.0,NEC Nijmegen,28,1993,2.0,,0,,,,,,,,,,,0,,,,Matches
Branthwaite Jarrad,engENG,2.0,PSV,20,2002,22.1,,16,,,,,,,,,,,38,,,,Matches
Brederode Myron,nlNED,3.4,AZ Alkmaar,19,2003,13.3,,16,,,,,,,,,,,12,,,,Matches
Breij Michael,nlNED,3.5,Cambuur,25,1997,16.2,,17,,,,,,,,,,,12,,,,Matches
Brenet Joshua,cwCUW,2.0,Twente,28,1994,27.9,,29,,,,,,,,,,,30,,,,Matches
Brobbey Brian,nlNED,4.0,Ajax,20,2002,18.3,,7,,,,,,,,,,,3,,,,Matches
Bronkhorst Ilias,nlNED,2.0,NEC Nijmegen,25,1997,0.6,,1,,,,,,,,,,,0,,,,Matches
Brouwer Patrick,nlNED,3.0,Sparta Rotterdam,21,2001,0.0,,0,,,,,,,,,,,0,,,,Matches
Brouwers Luuk,nlNED,3.0,Utrecht,24,1998,18.0,,18,,,,,,,,,,,26,,,,Matches
Bruijn Jordy,nlNED,3.4,NEC Nijmegen,26,1996,6.4,,4,,,,,,,,,,,3,,,,Matches
Bruma Jeffrey,nlNED,2.0,Heerenveen,30,1991,7.3,,7,,,,,,,,,,,8,,,,Matches
Bruns Max,nlNED,2.3,Twente,19,2002,4.8,,5,,,,,,,,,,,9,,,,Matches
Brym Charles-Andréas,caCAN,3.5,Sparta Rotterdam,23,1998,0.1,,0,,,,,,,,,,,0,,,,Matches
Buitink Thomas,nlNED,4.0,Vitesse,22,2000,1.4,,1,,,,,,,,,,,0,,,,Matches
Buitink Thomas,nlNED,3.4,Fortuna Sittard,22,2000,4.1,,2,,,,,,,,,,,2,,,,Matches
Bullaude Ezequiel,arARG,3.5,Feyenoord,21,2000,1.7,,1,,,,,,,,,,,0,,,,Matches
Burnet Lorenzo,nlNED,2.0,Emmen,31,1991,14.7,,27,,,,,,,,,,,16,,,,Matches
Buur Oskar,dkDEN,2.4,Volendam,24,1998,9.1,,15,,,,,,,,,,,9,,,,Matches
Buurmeester Zico,nlNED,3.0,AZ Alkmaar,20,2002,0.7,,0,,,,,,,,,,,0,,,,Matches
Cangiano Gianmarco,itITA,4.0,Fortuna Sittard,20,2001,0.6,,1,,,,,,,,,,,0,,,,Matches
Castro Pereira Joel,ptPOR,1.0,RKC Waalwijk,26,1996,2.0,,0,,,,,,,,,,,0,,,,Matches
Černý Václav,czCZE,3.5,Twente,24,1997,26.5,,22,,,,,,,,,,,15,,,,Matches
